,Start_Train,Start_Threshold,Start_Test,End_Test
0,2011-09-01,2011-12-01,2012-01-01,2012-03-01
1,2011-10-01,2012-01-01,2012-02-01,2012-04-01
2,2011-11-01,2012-02-01,2012-03-01,2012-05-01
3,2011-12-01,2012-03-01,2012-04-01,2012-06-01
4,2012-01-01,2012-04-01,2012-05-01,2012-07-01
5,2012-02-01,2012-05-01,2012-06-01,2012-08-01
6,2012-03-01,2012-06-01,2012-07-01,2012-09-01
7,2012-04-01,2012-07-01,2012-08-01,2012-10-01
8,2012-05-01,2012-08-01,2012-09-01,2012-11-01
9,2012-06-01,2012-09-01,2012-10-01,2012-12-01
